lon,lat,elev,obs_phase,pred_phase,pred_support_snow,pred_support_mix,pred_support_rain,obs_support_snow,obs_support_mix,obs_support_rain
-120.17576846452,39.3532522959514,1832.049560546875,snow,rain,0.04668647500045096,0.0,0.953313524999549,1.0,0.0,0.0
-120.109127107769,39.345307382032,1855.036376953125,snow,rain,0.43716586287437703,0.0,0.562834137125623,1.0,0.0,0.0
-120.162976764996,39.3581949908575,1793.0777587890625,rain,snow,0.9989793569466247,0.0,0.0010206430533753522,0.0,0.0,1.0
-119.9667552,39.2520524,2016.028076171875,snow,snow,0.6652610338684722,0.0,0.3347389661315278,1.0,0.0,0.0
-120.591783574163,39.6175852053894,1676.726806640625,rain,snow,1.0,0.0,0.0,0.0,0.0,1.0
-119.9667073,39.252032,2016.028076171875,snow,snow,0.9925859205578138,0.0,0.0074140794421861415,1.0,0.0,0.0
-120.031578971819,39.2381142460757,1900.6717529296875,snow,snow,0.9917927660950028,0.0,0.008207233904997242,1.0,0.0,0.0
-120.166530336179,39.1421151694486,1993.328857421875,snow,snow,0.8797830392107957,0.0,0.12021696078920438,1.0,0.0,0.0
-119.9667073,39.252032,2016.028076171875,snow,snow,0.7802283644925896,0.0,0.2197716355074104,1.0,0.0,0.0
-119.8692602,39.6024359,1591.5308837890625,rain,snow,1.0,0.0,0.0,0.0,0.0,1.0
-119.8705354,39.5250508,1486.023193359375,rain,snow,1.0,0.0,0.0,0.0,0.0,1.0
-120.277522116519,39.3282281957694,1945.9403076171875,snow,snow,1.0,0.0,0.0,1.0,0.0,0.0
-120.307468486441,39.3383490967045,2047.0211181640625,snow,snow,1.0,0.0,0.0,1.0,0.0,0.0
-120.4689914,39.8055695,1484.389892578125,rain,snow,0.8755372359057002,0.12446276409429977,0.0,0.0,0.0,1.0
-120.332369927121,39.3434852028129,2225.060302734375,snow,snow,1.0,0.0,0.0,1.0,0.0,0.0
-120.350000512851,39.3392383204308,2207.297119140625,snow,snow,1.0,0.0,0.0,1.0,0.0,0.0
-120.175777073428,39.3532520452717,1832.049560546875,snow,snow,1.0,0.0,0.0,1.0,0.0,0.0
-120.390595219736,39.3268941169778,2016.658203125,snow,snow,1.0,0.0,0.0,1.0,0.0,0.0
-120.0079555,38.9237972,1905.078125,snow,snow,0.9999999612803194,3.871968051873375e-08,0.0,1.0,0.0,0.0
-120.379301355947,39.3196356030291,2063.993408203125,snow,snow,1.0,0.0,0.0,1.0,0.0,0.0
-120.402385064738,39.3231735887712,2048.87890625,snow,snow,1.0,0.0,0.0,1.0,0.0,0.0
-120.441626539495,39.315292712408,1870.712890625,snow,snow,0.9681597988856275,0.031840201114372475,0.0,1.0,0.0,0.0
-120.495483027279,39.3119893447507,1835.4298095703125,snow,snow,0.8643489495854798,0.13565105041452022,0.0,1.0,0.0,0.0
-120.554458240423,39.3152605614581,1790.7691650390625,snow,mix,0.3049882507410455,0.6481159222216601,0.04689582703729444,1.0,0.0,0.0
-120.5710898754,39.3274127827981,1702.49609375,mix,snow,0.9148713552247718,0.03582175572324137,0.049306889051986894,0.0,1.0,0.0
-120.603213358168,39.3240725463284,1739.359375,snow,snow,0.4365922618079408,0.41959026953987827,0.14381746865218098,1.0,0.0,0.0
-120.633582344036,39.3109309026213,1675.3851318359375,snow,mix,0.20920148550627848,0.467567697326551,0.32323081716717045,1.0,0.0,0.0
-120.654335811511,39.3041415149951,1638.441650390625,mix,rain,0.20734799113067373,0.011204771739119369,0.7814472371302069,0.0,1.0,0.0
-120.007949,38.923794,1905.078125,snow,snow,0.9999999612763645,3.872363559717099e-08,0.0,1.0,0.0,0.0
-120.665259703984,39.3010793091818,1577.3743896484375,rain,mix,0.08485272684050847,0.5321389619738692,0.38300831118562234,0.0,0.0,1.0
-120.677337658653,39.2942424274257,1616.498779296875,rain,rain,0.07829997278067793,0.19034385244798147,0.7313561747713406,0.0,0.0,1.0
-120.70406967862,39.284245305731,1560.6502685546875,rain,rain,0.06751506719167163,0.10319676264803455,0.8292881701602938,0.0,0.0,1.0
-120.723988385496,39.2683651598094,1495.1611328125,rain,rain,0.06307331048321123,0.08001559891020804,0.8569110906065808,0.0,0.0,1.0
-120.768012862952,39.2234691651383,1295.53125,rain,rain,0.10841282907115514,0.11737063450046344,0.7742165364283815,0.0,0.0,1.0
-120.163063788779,39.3581989854055,1793.0777587890625,snow,snow,1.0,0.0,0.0,1.0,0.0,0.0
-120.00057,38.9276617,1900.0968017578125,snow,snow,0.9587361839191948,0.04126381608080516,0.0,1.0,0.0,0.0
-119.979268655749,38.9444890233806,1898.4395751953125,mix,snow,1.0,0.0,0.0,0.0,1.0,0.0
-120.100182780268,39.3566253638445,1798.48291015625,snow,mix,0.09891777938913576,0.9010822206108643,0.0,1.0,0.0,0.0
-120.163063832809,39.3581986245747,1793.0777587890625,mix,snow,1.0,0.0,0.0,0.0,1.0,0.0
-119.9667869,39.2520773,2016.028076171875,snow,snow,0.6140740993319189,0.385925900668081,0.0,1.0,0.0,0.0
-120.655877972117,39.3086743463249,1564.3427734375,mix,rain,0.46047986266663904,0.027946051514138228,0.5115740858192227,0.0,1.0,0.0
-120.682175128802,39.3080501134221,1422.817138671875,rain,snow,0.9950175350837744,0.00498246491622566,0.0,0.0,0.0,1.0
-120.68369375125,39.308852377278,1422.817138671875,snow,rain,0.0,0.004543290044840217,0.9954567099551598,1.0,0.0,0.0
-120.771758821174,39.3097989687669,1451.513671875,mix,snow,0.3933157094058243,0.2267587123181666,0.3799255782760091,0.0,1.0,0.0
-119.966773897617,39.2523514013931,2016.028076171875,mix,snow,0.8466368520714931,0.0,0.1533631479285069,0.0,1.0,0.0
