n_points,n_eval,accuracy,macro_f1,multiclass_logloss,hour_utc
9,9,0.7777777777777778,0.2916666666666667,5.935356351179561,2025-02-01 22:00:00+00:00
20,20,0.95,0.3247863247863248,1.838208344817179,2025-02-01 23:00:00+00:00
14,14,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-02 00:00:00+00:00
12,12,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-02 01:00:00+00:00
10,10,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-02 02:00:00+00:00
12,12,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-02 03:00:00+00:00
5,5,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-02 04:00:00+00:00
4,4,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-02 05:00:00+00:00
8,8,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-02 15:00:00+00:00
7,7,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-02 16:00:00+00:00
7,7,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-02 17:00:00+00:00
5,5,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-02 18:00:00+00:00
6,6,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-02 19:00:00+00:00
9,9,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-02 20:00:00+00:00
12,12,0.75,0.5444444444444444,0.46878949793606095,2025-02-02 21:00:00+00:00
9,9,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-02 22:00:00+00:00
10,10,0.9,0.3157894736842105,3.687363398963405,2025-02-02 23:00:00+00:00
15,15,0.7333333333333333,0.28205128205128205,5.06914459846324,2025-02-03 00:00:00+00:00
10,10,0.7,0.2745098039215686,7.538633213159445,2025-02-03 01:00:00+00:00
3,3,0.6666666666666666,0.26666666666666666,12.128037220055242,2025-02-04 00:00:00+00:00
3,3,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-04 04:00:00+00:00
4,4,0.5,0.2222222222222222,9.427828958749787,2025-02-04 05:00:00+00:00
5,5,0.0,0.0,10.525433008938599,2025-02-04 06:00:00+00:00
3,3,0.0,0.0,13.13314770139349,2025-02-04 07:00:00+00:00
3,3,0.0,0.0,13.120909800340355,2025-02-04 08:00:00+00:00
4,4,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-04 09:00:00+00:00
4,4,0.75,0.2857142857142857,9.367549621470479,2025-02-04 10:00:00+00:00
5,5,0.2,0.1111111111111111,1.5269783359814089,2025-02-04 14:00:00+00:00
16,16,0.875,0.5833333333333334,0.25429720419544943,2025-02-04 15:00:00+00:00
13,13,0.6923076923076923,0.6952380952380951,0.7276329192948869,2025-02-04 16:00:00+00:00
11,11,0.6363636363636364,0.2916666666666667,10.13568825852437,2025-02-04 17:00:00+00:00
29,29,0.6206896551724138,0.5452991452991452,2.7733928155314183,2025-02-04 18:00:00+00:00
5,5,0.2,0.1111111111111111,10.103749242052132,2025-02-04 19:00:00+00:00
12,12,0.75,0.2857142857142857,6.254264081479733,2025-02-04 20:00:00+00:00
9,9,0.5555555555555556,0.41269841269841273,1.6877405950174886,2025-02-04 21:00:00+00:00
13,13,0.5384615384615384,0.2333333333333333,0.8729536747779965,2025-02-04 22:00:00+00:00
23,23,0.782608695652174,0.526984126984127,2.1626153635973364,2025-02-04 23:00:00+00:00
41,41,0.926829268292683,0.6053489889106327,1.8656859452817538,2025-02-05 00:00:00+00:00
16,16,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-05 01:00:00+00:00
13,13,0.8461538461538461,0.3055555555555555,2.89643840780756,2025-02-05 02:00:00+00:00
16,16,0.9375,0.3225806451612903,2.344476357193843,2025-02-05 03:00:00+00:00
10,10,0.8,0.2962962962962963,3.7536290506504466,2025-02-05 04:00:00+00:00
17,17,0.8235294117647058,0.3010752688172043,2.4029967164845174,2025-02-05 05:00:00+00:00
10,10,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-05 06:00:00+00:00
9,9,0.5555555555555556,0.3666666666666667,0.6520222940596706,2025-02-06 15:00:00+00:00
24,24,0.625,0.48611111111111116,2.149085335681231,2025-02-06 16:00:00+00:00
31,31,0.9032258064516129,0.5366876310272537,2.4003039829253967,2025-02-06 17:00:00+00:00
38,38,0.868421052631579,0.5753086419753086,3.8877488735999806,2025-02-06 18:00:00+00:00
42,42,0.7380952380952381,0.5056935817805382,1.3780918435703364,2025-02-06 19:00:00+00:00
34,34,0.6764705882352942,0.4764912280701754,3.8763419285316085,2025-02-06 20:00:00+00:00
38,38,0.5526315789473685,0.4927170868347339,1.483361537787878,2025-02-06 21:00:00+00:00
33,33,0.8181818181818182,0.430952380952381,2.7703319764219634,2025-02-06 22:00:00+00:00
20,20,0.9,0.3157894736842105,3.657026129653809,2025-02-06 23:00:00+00:00
33,33,1.0,0.6666666666666666,0.024910242768863066,2025-02-07 00:00:00+00:00
14,14,0.8571428571428571,0.3076923076923077,2.861084823738348,2025-02-07 01:00:00+00:00
17,17,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-07 02:00:00+00:00
10,10,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-07 03:00:00+00:00
13,13,0.9230769230769231,0.32,2.827413953431294,2025-02-07 04:00:00+00:00
12,12,0.9166666666666666,0.31884057971014496,3.1138369015986007,2025-02-07 05:00:00+00:00
7,7,0.8571428571428571,0.3076923076923077,5.190023010775628,2025-02-07 06:00:00+00:00
4,4,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-07 07:00:00+00:00
3,3,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-07 08:00:00+00:00
3,3,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-07 10:00:00+00:00
4,4,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-07 14:00:00+00:00
5,5,0.8,0.2962962962962963,7.213615027089934,2025-02-07 15:00:00+00:00
6,6,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-07 16:00:00+00:00
3,3,0.6666666666666666,0.26666666666666666,12.255293275910091,2025-02-07 17:00:00+00:00
5,5,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-07 19:00:00+00:00
12,12,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-07 20:00:00+00:00
4,4,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-07 22:00:00+00:00
6,6,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-07 23:00:00+00:00
5,5,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-13 05:00:00+00:00
6,6,1.0,0.6666666666666666,0.33510150388083865,2025-02-13 06:00:00+00:00
4,4,0.5,0.2222222222222222,0.922734201277373,2025-02-13 07:00:00+00:00
4,4,0.5,0.2222222222222222,18.27475367426814,2025-02-13 10:00:00+00:00
6,6,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-13 12:00:00+00:00
20,20,0.6,0.3277777777777778,4.158075013947413,2025-02-13 13:00:00+00:00
27,27,0.4074074074074074,0.33481481481481484,2.5838027106302976,2025-02-13 14:00:00+00:00
52,52,0.7307692307692307,0.719421101774043,1.4648659704056126,2025-02-13 15:00:00+00:00
26,26,0.6153846153846154,0.6198830409356725,5.0821229323642605,2025-02-13 16:00:00+00:00
41,41,0.6829268292682927,0.49259259259259264,3.5663283889318627,2025-02-13 17:00:00+00:00
30,30,0.5333333333333333,0.5103785103785103,3.1258178193807895,2025-02-13 18:00:00+00:00
31,31,0.41935483870967744,0.34259259259259256,4.690600721836547,2025-02-13 19:00:00+00:00
24,24,0.4583333333333333,0.4523809523809524,4.411387995461006,2025-02-13 20:00:00+00:00
18,18,0.6111111111111112,0.28205128205128205,3.082589090707314,2025-02-13 21:00:00+00:00
29,29,0.6896551724137931,0.585085085085085,0.8485338574445426,2025-02-13 22:00:00+00:00
38,38,0.6578947368421053,0.5347891665027215,3.122919375347965,2025-02-13 23:00:00+00:00
20,20,0.4,0.3028322440087146,2.953986952695348,2025-02-14 00:00:00+00:00
7,7,0.7142857142857143,0.5833333333333334,6.020342195213116,2025-02-14 01:00:00+00:00
18,18,0.6111111111111112,0.4436274509803922,1.2261854863978325,2025-02-14 02:00:00+00:00
17,17,0.5882352941176471,0.39946018893387314,3.3810777458863583,2025-02-14 03:00:00+00:00
12,12,0.5833333333333334,0.42424242424242425,3.964439346808882,2025-02-14 04:00:00+00:00
8,8,0.375,0.1818181818181818,5.1315621899285,2025-02-14 05:00:00+00:00
6,6,0.6666666666666666,0.26666666666666666,6.311424247827023,2025-02-14 06:00:00+00:00
5,5,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-14 07:00:00+00:00
3,3,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-14 09:00:00+00:00
4,4,0.0,0.0,19.265759032520375,2025-02-14 10:00:00+00:00
3,3,0.6666666666666666,0.26666666666666666,12.03638270942219,2025-02-14 13:00:00+00:00
5,5,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-14 14:00:00+00:00
11,11,0.5454545454545454,0.23529411764705885,10.533294444491828,2025-02-14 15:00:00+00:00
8,8,0.875,0.3111111111111111,4.57673217038351,2025-02-14 16:00:00+00:00
8,8,1.0,0.6666666666666666,0.04198159288036758,2025-02-14 17:00:00+00:00
6,6,0.6666666666666666,0.3333333333333333,12.031939673201054,2025-02-14 18:00:00+00:00
8,8,0.875,0.3111111111111111,4.587840354463513,2025-02-14 19:00:00+00:00
5,5,0.8,0.2962962962962963,7.371314463421632,2025-02-14 20:00:00+00:00
3,3,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-14 21:00:00+00:00
9,9,0.7777777777777778,0.7833333333333333,0.6619151254609095,2025-02-16 14:00:00+00:00
19,19,0.7894736842105263,0.5411255411255411,3.98593205742144,2025-02-16 15:00:00+00:00
13,13,0.6923076923076923,0.44973544973544977,3.2366702258814777,2025-02-16 16:00:00+00:00
6,6,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-16 17:00:00+00:00
4,4,0.75,0.2857142857142857,9.492437107931298,2025-02-16 19:00:00+00:00
6,6,0.8333333333333334,0.30303030303030304,6.010497067236308,2025-02-19 03:00:00+00:00
4,4,0.0,0.0,19.218380378511334,2025-02-19 19:00:00+00:00
17,17,0.7058823529411765,0.4830917874396135,4.59461843560062,2025-02-19 20:00:00+00:00
18,18,0.5,0.2608695652173913,2.138474763726585,2025-02-19 21:00:00+00:00
7,7,0.14285714285714285,0.08333333333333333,8.812628861687049,2025-02-19 22:00:00+00:00
6,6,0.8333333333333334,0.30303030303030304,6.0476297930786815,2025-02-19 23:00:00+00:00
11,11,0.7272727272727273,0.5,3.599638752615039,2025-02-20 00:00:00+00:00
13,13,0.6923076923076923,0.4074074074074074,3.7861999376239193,2025-02-20 01:00:00+00:00
6,6,0.6666666666666666,0.26666666666666666,0.5031737702568314,2025-02-20 02:00:00+00:00
6,6,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-23 16:00:00+00:00
5,5,1.0,0.3333333333333333,2.2204460492503136e-16,2025-02-23 17:00:00+00:00
3,3,0.0,0.0,36.04365338911715,2025-03-02 13:00:00+00:00
5,5,0.8,0.2962962962962963,7.27024938016679,2025-03-02 15:00:00+00:00
16,16,0.6875,0.37777777777777777,3.052686654687777,2025-03-02 16:00:00+00:00
